 ---------------------------------------------------- --------------------- -------- ------ --------------------------------------------------------------- 
  Name                                                 Method                Scheme   Host   Path                                                           
  app_post_api_trigger_workflows                       POST|GET              ANY      ANY    /api/triggers/1/{apiEndpoint}                                  
  app_api_password_change                              PUT                   ANY      ANY    /api/3/changepassword                                          
  app_api_password_reset                               POST                  ANY      ANY    /api/3/resetpassword                                           
  app_type_agnostic_create                             POST                  ANY      ANY    /api/3/                                                        
  app_type_agnostic_sql_create                         POST                  ANY      ANY    /api/ingest-feeds/{resourceShortName}                          
  app_api_bulk_update                                  PUT                   ANY      ANY    /api/3/update/{moduletype}                                     
  app_api_record_comment_get                           GET                   ANY      ANY    /api/3/{module}/{recordId}/comments/{id}                       
  app_api_comment_update                               PUT                   ANY      ANY    /api/3/comments/{id}                                           
  app_api_comment_delete                               DELETE                ANY      ANY    /api/3/comments/{id}                                           
  app_api_comment_mark_important                       PUT                   ANY      ANY    /api/3/comments/{id}/mark-important                            
  app_api_image_GET                                    GET                   ANY      ANY    /api/3/images/{uuid}                                           
  app_api_image_create                                 POST                  ANY      ANY    /api/3/images                                                  
  app_api_image_delete                                 DELETE                ANY      ANY    /api/3/images/{uuid}                                           
  app_api_avatar_current_create                        POST                  ANY      ANY    /api/3/avatars/current                                         
  app_api_avatar_current_update                        PUT                   ANY      ANY    /api/3/avatars/current                                         
  app_api_avatar_GET                                   GET                   ANY      ANY    /api/3/avatars/{uuid}                                          
  app_api_avatar_DELETE                                DELETE                ANY      ANY    /api/3/avatars/{uuid}                                          
  app_api_graph_visual                                 POST                  ANY      ANY    /api/3/graph/{moduletype}/{id}                                 
  app_api_tenants_get                                  GET                   ANY      ANY    /api/3/tenants                                                 
  app_api_routers_get                                  GET                   ANY      ANY    /api/3/routers                                                 
  app_api_router_put                                   PUT                   ANY      ANY    /api/3/routers/{uuid}                                          
  app_api_router_delete                                DELETE                ANY      ANY    /api/3/routers/{uuid}                                          
  app_api_agent_get                                    GET                   ANY      ANY    /api/3/agents                                                  
  app_api_agent_create                                 POST                  ANY      ANY    /api/3/agents                                                  
  app_api_agent_update                                 PUT                   ANY      ANY    /api/3/agents/{id}                                             
  app_api_agent_delete                                 DELETE                ANY      ANY    /api/3/agents/{id}                                             
  app_api_tenant_create                                POST                  ANY      ANY    /api/3/tenants                                                 
  app_api_tenant_update                                PUT                   ANY      ANY    /api/3/tenants/{id}                                            
  app_api_tenant_delete                                DELETE                ANY      ANY    /api/3/tenants/{id}                                            
  app_get_team_role_action                             GET                   ANY      ANY    /api/userteam                                                  
  app_config_export_start                              PUT                   ANY      ANY    /api/export                                                    
  app_config_import_params                             GET                   ANY      ANY    /api/import/{id}                                               
  app_config_import_start                              PUT                   ANY      ANY    /api/import/{id}                                               
  app_get_record_association                           GET                   ANY      ANY    /api/3/{resourceShortName}/{id}/{field}                        
  app_delete_record_association                        DELETE                ANY      ANY    /api/3/{resourceShortName}/{id}/{field}/{fieldId}              
  app_api_log_collect_download                         GET                   ANY      ANY    /api/3/utils/log-collect-download                              
  app_api_cache_util                                   POST                  ANY      ANY    /api/3/cache_util                                              
  app_api_yum_repo                                     GET                   ANY      ANY    /api/yumrepo                                                   
  app_api_get_filters                                  GET                   ANY      ANY    /api/3/queries                                                 
  app_api_post_user_filters                            POST                  ANY      ANY    /api/3/user_queries                                            
  app_api_put_user_filters                             PUT                   ANY      ANY    /api/3/user_queries/{uuid}                                     
  app_api_delete_user_filters                          DELETE                ANY      ANY    /api/3/user_queries/{uuid}                                     
  app_actors_permissions_list_actions                  GET                   ANY      ANY    /api/actors/permission/{uuid}                                  
  app_workflow_recommendation                          POST                  ANY      ANY    /api/3/recommend/actions                                       
  validate_preprocessing_rules                         POST                  ANY      ANY    /api/3/preprocessing_rules/validate                            
  app_api_gateway_proxy_action                         GET|PUT|POST|DELETE   ANY      ANY    /api/gateway/{route}                                           
  app_feature_controls_get_action                      GET                   ANY      ANY    /api/product/feature-access                                    
  api_genid                                            ANY                   ANY      ANY    /api/3/.well-known/genid/{id}                                  
  api_entrypoint                                       ANY                   ANY      ANY    /api/3/{index}.{_format}                                       
  api_doc                                              ANY                   ANY      ANY    /api/3/docs.{_format}                                          
  api_jsonld_context                                   ANY                   ANY      ANY    /api/3/contexts/{shortName}.{_format}                          
  api_statistics_get_collection                        GET                   ANY      ANY    /api/3/statistics.{_format}                                    
  api_statistics_get_item                              GET                   ANY      ANY    /api/3/statistics/{uuid}.{_format}                             
  api_actors_get_collection                            GET                   ANY      ANY    /api/3/actors.{_format}                                        
  api_actors_post_collection                           POST                  ANY      ANY    /api/3/actors.{_format}                                        
  api_actors_get_item                                  GET                   ANY      ANY    /api/3/actors/{uuid}.{_format}                                 
  api_actors_put_item                                  PUT                   ANY      ANY    /api/3/actors/{uuid}.{_format}                                 
  api_actors_delete_item                               DELETE                ANY      ANY    /api/3/actors/{uuid}.{_format}                                 
  api_api_keys_get_collection                          GET                   ANY      ANY    /api/3/api_keys                                                
  api_api_keys_post_collection                         POST                  ANY      ANY    /api/3/api_keys                                                
  api_api_keys_get_item                                GET                   ANY      ANY    /api/3/api_keys/{uuid}                                         
  api_api_keys_put_item                                PUT                   ANY      ANY    /api/3/api_keys/{uuid}                                         
  api_api_keys_delete_item                             DELETE                ANY      ANY    /api/3/api_keys/{uuid}                                         
  api_avatars_get_collection                           GET                   ANY      ANY    /api/3/avatars.{_format}                                       
  api_avatars_post_collection                          POST                  ANY      ANY    /api/3/avatars.{_format}                                       
  api_avatars_get_item                                 GET                   ANY      ANY    /api/3/avatars/{uuid}.{_format}                                
  api_avatars_put_item                                 PUT                   ANY      ANY    /api/3/avatars/{uuid}.{_format}                                
  api_avatars_delete_item                              DELETE                ANY      ANY    /api/3/avatars/{uuid}.{_format}                                
  api_field_permissions_get_collection                 GET                   ANY      ANY    /api/3/field_permissions.{_format}                             
  api_field_permissions_get_item                       GET                   ANY      ANY    /api/3/field_permissions/{uuid}.{_format}                      
  api_module_permissions_get_collection                GET                   ANY      ANY    /api/3/module_permissions.{_format}                            
  api_module_permissions_get_item                      GET                   ANY      ANY    /api/3/module_permissions/{uuid}.{_format}                     
  api_roles_get_collection                             GET                   ANY      ANY    /api/3/roles.{_format}                                         
  api_roles_post_collection                            POST                  ANY      ANY    /api/3/roles.{_format}                                         
  api_roles_get_item                                   GET                   ANY      ANY    /api/3/roles/{uuid}.{_format}                                  
  api_roles_put_item                                   PUT                   ANY      ANY    /api/3/roles/{uuid}.{_format}                                  
  api_roles_delete_item                                DELETE                ANY      ANY    /api/3/roles/{uuid}.{_format}                                  
  api_teams_get_collection                             GET                   ANY      ANY    /api/3/teams.{_format}                                         
  api_teams_post_collection                            POST                  ANY      ANY    /api/3/teams.{_format}                                         
  api_teams_get_item                                   GET                   ANY      ANY    /api/3/teams/{uuid}.{_format}                                  
  api_teams_put_item                                   PUT                   ANY      ANY    /api/3/teams/{uuid}.{_format}                                  
  api_teams_delete_item                                DELETE                ANY      ANY    /api/3/teams/{uuid}.{_format}                                  
  api_config_props_get_collection                      GET                   ANY      ANY    /api/3/config_props                                            
  api_config_props_get_item                            GET                   ANY      ANY    /api/3/config_props/{uuid}                                     
  api_email_templates_get_collection                   GET                   ANY      ANY    /api/3/email_templates.{_format}                               
  api_email_templates_post_collection                  POST                  ANY      ANY    /api/3/email_templates.{_format}                               
  api_email_templates_get_item                         GET                   ANY      ANY    /api/3/email_templates/{uuid}.{_format}                        
  api_email_templates_put_item                         PUT                   ANY      ANY    /api/3/email_templates/{uuid}.{_format}                        
  api_email_templates_delete_item                      DELETE                ANY      ANY    /api/3/email_templates/{uuid}.{_format}                        
  api_export_jobs_get_collection                       GET                   ANY      ANY    /api/3/export_jobs.{_format}                                   
  api_export_jobs_post_collection                      POST                  ANY      ANY    /api/3/export_jobs.{_format}                                   
  api_export_jobs_get_item                             GET                   ANY      ANY    /api/3/export_jobs/{uuid}.{_format}                            
  api_export_jobs_put_item                             PUT                   ANY      ANY    /api/3/export_jobs/{uuid}.{_format}                            
  api_export_jobs_delete_item                          DELETE                ANY      ANY    /api/3/export_jobs/{uuid}.{_format}                            
  api_export_templates_get_collection                  GET                   ANY      ANY    /api/3/export_templates.{_format}                              
  api_export_templates_post_collection                 POST                  ANY      ANY    /api/3/export_templates.{_format}                              
  api_export_templates_get_item                        GET                   ANY      ANY    /api/3/export_templates/{uuid}.{_format}                       
  api_export_templates_put_item                        PUT                   ANY      ANY    /api/3/export_templates/{uuid}.{_format}                       
  api_export_templates_delete_item                     DELETE                ANY      ANY    /api/3/export_templates/{uuid}.{_format}                       
  api_files_get_collection                             GET                   ANY      ANY    /api/3/files.{_format}                                         
  api_files_post_collection                            POST                  ANY      ANY    /api/3/files.{_format}                                         
  api_files_get_item                                   GET                   ANY      ANY    /api/3/files/{uuid}.{_format}                                  
  api_files_put_item                                   PUT                   ANY      ANY    /api/3/files/{uuid}.{_format}                                  
  api_files_delete_item                                DELETE                ANY      ANY    /api/3/files/{uuid}.{_format}                                  
  api_files_owners_get_subresource                     GET                   ANY      ANY    /api/3/files/{uuid}/owners.{_format}                           
  api_files_user_owners_get_subresource                GET                   ANY      ANY    /api/3/files/{uuid}/user_owners.{_format}                      
  api_images_get_collection                            GET                   ANY      ANY    /api/3/images.{_format}                                        
  api_images_post_collection                           POST                  ANY      ANY    /api/3/images.{_format}                                        
  api_images_get_item                                  GET                   ANY      ANY    /api/3/images/{uuid}.{_format}                                 
  api_images_put_item                                  PUT                   ANY      ANY    /api/3/images/{uuid}.{_format}                                 
  api_images_delete_item                               DELETE                ANY      ANY    /api/3/images/{uuid}.{_format}                                 
  api_images_owners_get_subresource                    GET                   ANY      ANY    /api/3/images/{uuid}/owners.{_format}                          
  api_images_user_owners_get_subresource               GET                   ANY      ANY    /api/3/images/{uuid}/user_owners.{_format}                     
  api_import_jobs_get_collection                       GET                   ANY      ANY    /api/3/import_jobs.{_format}                                   
  api_import_jobs_post_collection                      POST                  ANY      ANY    /api/3/import_jobs.{_format}                                   
  api_import_jobs_get_item                             GET                   ANY      ANY    /api/3/import_jobs/{uuid}.{_format}                            
  api_import_jobs_put_item                             PUT                   ANY      ANY    /api/3/import_jobs/{uuid}.{_format}                            
  api_import_jobs_delete_item                          DELETE                ANY      ANY    /api/3/import_jobs/{uuid}.{_format}                            
  api_modules_get_collection                           GET                   ANY      ANY    /api/3/modules.{_format}                                       
  api_modules_get_item                                 GET                   ANY      ANY    /api/3/modules/{uuid}.{_format}                                
  api_pg_files_get_collection                          GET                   ANY      ANY    /api/3/pgfile                                                  
  api_pg_files_post_collection                         POST                  ANY      ANY    /api/3/pgfile                                                  
  api_pg_files_get_item                                GET                   ANY      ANY    /api/3/pgfile/{uuid}                                           
  api_pg_files_put_item                                PUT                   ANY      ANY    /api/3/pgfile/{uuid}                                           
  api_pg_files_delete_item                             DELETE                ANY      ANY    /api/3/pgfile/{uuid}                                           
  api_picklists_get_collection                         GET                   ANY      ANY    /api/3/picklists.{_format}                                     
  api_picklists_post_collection                        POST                  ANY      ANY    /api/3/picklists.{_format}                                     
  api_picklists_get_item                               GET                   ANY      ANY    /api/3/picklists/{uuid}.{_format}                              
  api_picklists_put_item                               PUT                   ANY      ANY    /api/3/picklists/{uuid}.{_format}                              
  api_picklists_delete_item                            DELETE                ANY      ANY    /api/3/picklists/{uuid}.{_format}                              
  api_picklist_names_get_collection                    GET                   ANY      ANY    /api/3/picklist_names.{_format}                                
  api_picklist_names_post_collection                   POST                  ANY      ANY    /api/3/picklist_names.{_format}                                
  api_picklist_names_get_item                          GET                   ANY      ANY    /api/3/picklist_names/{uuid}.{_format}                         
  api_picklist_names_put_item                          PUT                   ANY      ANY    /api/3/picklist_names/{uuid}.{_format}                         
  api_picklist_names_delete_item                       DELETE                ANY      ANY    /api/3/picklist_names/{uuid}.{_format}                         
  api_proxies_get_collection                           GET                   ANY      ANY    /api/3/proxy                                                   
  api_proxies_get_item                                 GET                   ANY      ANY    /api/3/proxies/{uuid}.{_format}                                
  api_proxies_delete_item                              DELETE                ANY      ANY    /api/3/proxies/{uuid}.{_format}                                
  api_proxies_put_item                                 PUT                   ANY      ANY    /api/3/proxies/{uuid}.{_format}                                
  api_proxies_patch_item                               PATCH                 ANY      ANY    /api/3/proxies/{uuid}.{_format}                                
  api_solution_packs_get_collection                    GET                   ANY      ANY    /api/3/solutionpacks                                           
  api_solution_packs_post_collection                   POST                  ANY      ANY    /api/3/solutionpacks                                           
  api_solution_packs_get_item                          GET                   ANY      ANY    /api/3/solutionpacks/{uuid}                                    
  api_solution_packs_put_item                          PUT                   ANY      ANY    /api/3/solutionpacks/{uuid}                                    
  api_tags_get_collection                              GET                   ANY      ANY    /api/3/tags                                                    
  api_tags_post_collection                             POST                  ANY      ANY    /api/3/tags                                                    
  api_tags_get_item                                    GET                   ANY      ANY    /api/3/tags/{uuid}                                             
  api_widgets_get_collection                           GET                   ANY      ANY    /api/3/widgets.{_format}                                       
  api_widgets_post_collection                          POST                  ANY      ANY    /api/3/widgets.{_format}                                       
  api_widgets_get_item                                 GET                   ANY      ANY    /api/3/widgets/{uuid}.{_format}                                
  api_widgets_put_item                                 PUT                   ANY      ANY    /api/3/widgets/{uuid}.{_format}                                
  api_widgets_delete_item                              DELETE                ANY      ANY    /api/3/widgets/{uuid}.{_format}                                
  api_widgets_files_get_subresource                    GET                   ANY      ANY    /api/3/widgets/{uuid}/files.{_format}                          
  api_widgets_owners_get_subresource                   GET                   ANY      ANY    /api/3/widgets/{uuid}/owners.{_format}                         
  api_agents_get_collection                            GET                   ANY      ANY    /api/3/agents                                                  
  api_agents_post_collection                           POST                  ANY      ANY    /api/3/agents                                                  
  api_agents_get_item                                  GET                   ANY      ANY    /api/3/agents/{uuid}                                           
  api_agents_put_item                                  PUT                   ANY      ANY    /api/3/agents/{uuid}                                           
  api_agents_delete_item                               DELETE                ANY      ANY    /api/3/agents/{uuid}                                           
  api_agents_owners_get_subresource                    GET                   ANY      ANY    /api/3/agents/{uuid}/owners                                    
  api_alerts_get_collection                            GET                   ANY      ANY    /api/3/alerts                                                  
  api_alerts_post_collection                           POST                  ANY      ANY    /api/3/alerts                                                  
  api_alerts_get_item                                  GET                   ANY      ANY    /api/3/alerts/{uuid}                                           
  api_alerts_put_item                                  PUT                   ANY      ANY    /api/3/alerts/{uuid}                                           
  api_alerts_delete_item                               DELETE                ANY      ANY    /api/3/alerts/{uuid}                                           
  api_alerts_owners_get_subresource                    GET                   ANY      ANY    /api/3/alerts/{uuid}/owners                                    
  api_announcements_get_collection                     GET                   ANY      ANY    /api/3/announcements                                           
  api_announcements_post_collection                    POST                  ANY      ANY    /api/3/announcements                                           
  api_announcements_get_item                           GET                   ANY      ANY    /api/3/announcements/{uuid}                                    
  api_announcements_put_item                           PUT                   ANY      ANY    /api/3/announcements/{uuid}                                    
  api_announcements_delete_item                        DELETE                ANY      ANY    /api/3/announcements/{uuid}                                    
  api_appliances_get_collection                        GET                   ANY      ANY    /api/3/appliances                                              
  api_appliances_post_collection                       POST                  ANY      ANY    /api/3/appliances                                              
  api_appliances_get_item                              GET                   ANY      ANY    /api/3/appliances/{uuid}                                       
  api_appliances_put_item                              PUT                   ANY      ANY    /api/3/appliances/{uuid}                                       
  api_appliances_delete_item                           DELETE                ANY      ANY    /api/3/appliances/{uuid}                                       
  api_approvals_get_collection                         GET                   ANY      ANY    /api/3/approvals                                               
  api_approvals_post_collection                        POST                  ANY      ANY    /api/3/approvals                                               
  api_approvals_get_item                               GET                   ANY      ANY    /api/3/approvals/{uuid}                                        
  api_approvals_put_item                               PUT                   ANY      ANY    /api/3/approvals/{uuid}                                        
  api_approvals_delete_item                            DELETE                ANY      ANY    /api/3/approvals/{uuid}                                        
  api_approvals_owners_get_subresource                 GET                   ANY      ANY    /api/3/approvals/{uuid}/owners                                 
  api_approvals_user_owners_get_subresource            GET                   ANY      ANY    /api/3/approvals/{uuid}/userOwners                             
  api_assets_get_collection                            GET                   ANY      ANY    /api/3/assets                                                  
  api_assets_post_collection                           POST                  ANY      ANY    /api/3/assets                                                  
  api_assets_get_item                                  GET                   ANY      ANY    /api/3/assets/{uuid}                                           
  api_assets_put_item                                  PUT                   ANY      ANY    /api/3/assets/{uuid}                                           
  api_assets_delete_item                               DELETE                ANY      ANY    /api/3/assets/{uuid}                                           
  api_attachments_get_collection                       GET                   ANY      ANY    /api/3/attachments                                             
  api_attachments_post_collection                      POST                  ANY      ANY    /api/3/attachments                                             
  api_attachments_get_item                             GET                   ANY      ANY    /api/3/attachments/{uuid}                                      
  api_attachments_put_item                             PUT                   ANY      ANY    /api/3/attachments/{uuid}                                      
  api_attachments_delete_item                          DELETE                ANY      ANY    /api/3/attachments/{uuid}                                      
  api_attachments_owners_get_subresource               GET                   ANY      ANY    /api/3/attachments/{uuid}/owners                               
  api_attachments_user_owners_get_subresource          GET                   ANY      ANY    /api/3/attachments/{uuid}/userOwners                           
  api_c_v_es_get_collection                            GET                   ANY      ANY    /api/3/c_v_es                                                  
  api_c_v_es_post_collection                           POST                  ANY      ANY    /api/3/c_v_es                                                  
  api_c_v_es_get_item                                  GET                   ANY      ANY    /api/3/c_v_es/{uuid}                                           
  api_c_v_es_put_item                                  PUT                   ANY      ANY    /api/3/c_v_es/{uuid}                                           
  api_c_v_es_delete_item                               DELETE                ANY      ANY    /api/3/c_v_es/{uuid}                                           
  api_c_v_es_owners_get_subresource                    GET                   ANY      ANY    /api/3/c_v_es/{uuid}/owners                                    
  api_c_v_es_user_owners_get_subresource               GET                   ANY      ANY    /api/3/c_v_es/{uuid}/userOwners                                
  api_campaigns_get_collection                         GET                   ANY      ANY    /api/3/campaigns                                               
  api_campaigns_post_collection                        POST                  ANY      ANY    /api/3/campaigns                                               
  api_campaigns_get_item                               GET                   ANY      ANY    /api/3/campaigns/{uuid}                                        
  api_campaigns_put_item                               PUT                   ANY      ANY    /api/3/campaigns/{uuid}                                        
  api_campaigns_delete_item                            DELETE                ANY      ANY    /api/3/campaigns/{uuid}                                        
  api_comments_get_collection                          GET                   ANY      ANY    /api/3/comments                                                
