
URL                                                                     | Module                                          | Name                                                 | Decorator
/wf/api-auth/logout/                                                    | django.contrib.auth.views.LogoutView            | rest_framework:logout                                | 
/wf/api/                                                                | django.views.generic.base.RedirectView          |                                                      | 
/wf/api/                                                                | django.views.generic.base.RedirectView          |                                                      | 
/wf/api/                                                                | rest_framework.routers.APIRootView              | api-root                                             | 
/wf/api/<drf_format_suffix:format>                                      | rest_framework.routers.APIRootView              | api-root                                             | 
/wf/api/crontab-schedule/                                               | workflow.views.PeriodicCrontabScheduleViewSet   | crontabschedule-list                                 | 
/wf/api/crontab-schedule/<pk>/                                          | workflow.views.PeriodicCrontabScheduleViewSet   | crontabschedule-detail                               | 
/wf/api/crontab-schedule/<pk>\.<format>/                                | workflow.views.PeriodicCrontabScheduleViewSet   | crontabschedule-detail                               | 
/wf/api/crontab-schedule\.<format>/                                     | workflow.views.PeriodicCrontabScheduleViewSet   | crontabschedule-list                                 | 
/wf/api/dynamic-variable/                                               | dynamic_variable.views.DynamicVariableView      | dynamic variable-list                                | 
/wf/api/dynamic-variable/<pk>/                                          | dynamic_variable.views.DynamicVariableView      | dynamic variable-detail                              | 
/wf/api/dynamic-variable/<pk>\.<format>/                                | dynamic_variable.views.DynamicVariableView      | dynamic variable-detail                              | 
/wf/api/dynamic-variable\.<format>/                                     | dynamic_variable.views.DynamicVariableView      | dynamic variable-list                                | 
/wf/api/expressions/                                                    | expression_builder.views.ExpressionsView        | Expressions View-list                                | 
/wf/api/expressions/<pk>/                                               | expression_builder.views.ExpressionsView        | Expressions View-detail                              | 
/wf/api/expressions/<pk>\.<format>/                                     | expression_builder.views.ExpressionsView        | Expressions View-detail                              | 
/wf/api/expressions/bulk                                                | expression_builder.views.ExpressionsBulkView    |                                                      | 
/wf/api/expressions\.<format>/                                          | expression_builder.views.ExpressionsView        | Expressions View-list                                | 
/wf/api/historical-query/                                               | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-list                       | 
/wf/api/historical-query/<pk>/                                          | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-detail                     | 
/wf/api/historical-query/<pk>\.<format>/                                | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-detail                     | 
/wf/api/historical-query/context/                                       | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-context                    | 
/wf/api/historical-query/context\.<format>/                             | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-context                    | 
/wf/api/historical-query/vocab/                                         | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-vocab                      | 
/wf/api/historical-query/vocab\.<format>/                               | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-vocab                      | 
/wf/api/historical-query/workflow_logs/                                 | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-workflow-logs              | 
/wf/api/historical-query/workflow_logs\.<format>/                       | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-workflow-logs              | 
/wf/api/historical-query\.<format>/                                     | workflow.views.HistoricalWorkflowQueryViewSet   | historical workflow query-list                       | 
/wf/api/historical-steps/                                               | workflow.views.HistoricalStepViewSet            | historicalstep-list                                  | 
/wf/api/historical-steps/<pk>/                                          | workflow.views.HistoricalStepViewSet            | historicalstep-detail                                | 
/wf/api/historical-steps/<pk>\.<format>/                                | workflow.views.HistoricalStepViewSet            | historicalstep-detail                                | 
